Date,VIX,SP500,Unemployment,SP500_Return
2020-12-31,22.8,4079.7115802326816,6.7,3.8
2021-01-31,24.3,4038.914464430354,6.4,-1.0
2021-02-28,22.6,4152.004069434405,6.2,2.8
2021-03-31,19.8,4334.6922484895185,6.1,4.4
2021-04-30,18.6,4564.430937659463,6.1,5.3
2021-05-31,19.2,4596.3819542230785,5.8,0.7
2021-06-30,18.9,4702.098739170208,5.9,2.3
2021-07-31,16.2,4814.949108910294,5.4,2.4
2021-08-31,17.8,4959.397582177602,5.1,3.0
2021-09-30,19.6,4726.305895815255,4.7,-4.7
2021-10-31,17.2,5057.147308522323,4.5,7.0
2021-11-30,18.4,5021.747277362667,4.1,-0.7
2021-12-31,17.9,5247.725904843986,3.9,4.5
2022-01-31,21.5,4969.596431887255,4.0,-5.3
2022-02-28,27.8,4815.538942498751,3.9,-3.1
2022-03-31,22.4,4988.898344428705,3.7,3.6
2022-04-30,23.6,4549.875290118979,3.7,-8.8
2022-05-31,28.7,4558.975040699217,3.6,0.2
2022-06-30,27.5,4176.021137280482,3.6,-8.4
2022-07-31,25.6,4560.215081910288,3.5,9.2
2022-08-31,22.9,4368.6860484700555,3.6,-4.2
2022-09-30,26.3,3962.398245962341,3.5,-9.3
2022-10-31,31.6,4283.35250388529,3.6,8.1
2022-11-30,24.2,4514.653539095097,3.6,5.4
2022-12-31,21.8,4248.288980288486,3.5,-5.9
2023-01-31,18.9,4515.9311860466605,3.5,6.3
2023-02-28,20.4,4407.548837581539,3.6,-2.4
2023-03-31,19.6,4570.628144572056,3.5,3.7
2023-04-30,16.8,4643.758194885209,3.4,1.6
2023-05-31,17.2,4662.333227664751,3.6,0.4
2023-06-30,14.3,4970.047220690624,3.6,6.6
2023-07-31,13.8,5129.088731752725,3.5,3.2
2023-08-31,15.6,5036.7651345811755,3.7,-1.8
2023-09-30,16.2,4789.963642986698,3.7,-4.9
2023-10-31,18.9,4684.58444284099,3.9,-2.2
2023-11-30,13.5,5110.881627139521,3.7,9.1
2023-12-31,12.5,5340.871300360798,3.8,4.5
2024-01-31,13.8,5431.666112466932,3.7,1.7
2024-02-29,14.2,5719.544416427679,3.9,5.3
2024-03-31,13.5,5902.5698377533645,3.9,3.2
2024-04-30,14.8,5654.661904567723,3.9,-4.2
2024-05-31,12.2,5937.394999796109,3.9,5.0
2024-06-30,13.1,6151.141219788769,4.1,3.6
2024-07-31,15.2,6224.954914426235,4.2,1.2
2024-08-31,16.8,6094.230861223284,4.2,-2.1
2024-09-30,15.4,6216.115478447749,4.1,2.0
2024-10-31,17.2,6160.170439141719,4.1,-0.9
2024-11-30,14.6,6511.300154172796,4.2,5.7
2024-12-31,15.8,6667.571357872945,4.1,2.4
